,student,position,name
369,Bruno Augusto Nassif Travençolo,president, Luciano da Fontoura  Costa
370,Bruno Augusto Nassif Travençolo,comitee, Aparecido Nilceu Marana
371,Bruno Augusto Nassif Travençolo,comitee, Nance Beyer Nardi
372,Bruno Augusto Nassif Travençolo,comitee, Gonzalo Travieso
373,Bruno Augusto Nassif Travençolo,comitee, Lucile Maria Floeter Winter
374,Elza Helena Andrade Barbosa Durham,na,Bioinformática estrutural de proteínas modificadas por eventos de splicing alternativo
375,André Pierro de Camargo,president, Marcelo de Souza  Lauretto
376,André Pierro de Camargo,comitee, Delhi Teresa Paiva Salinas
377,André Pierro de Camargo,comitee, Julio Michael Stern
378,Nestor Walter Trepode,na,Modelagem do controle gênico do ciclo celular por redes genéticas probabilísticas.
379,Fabio Passetti,na,Implicações funcionais de eventos de splicing alternativo no proteoma humano
380,Gustavo Henrique Esteves,president, Eduardo Jordao  Neves
381,Gustavo Henrique Esteves,comitee, Sergio Verjovski de Almeida
382,Gustavo Henrique Esteves,comitee, Roberto Marcondes Cesar Junior
383,Gustavo Henrique Esteves,comitee, Nancy Lopes Garcia
384,Gustavo Henrique Esteves,comitee, Luiz Roberto Nunes
385,Bruno Monte de Castro,president, Florencia Graciela  Leonardi
